Month,Spotify: (United States)
2016-05,48
2016-06,43
2016-07,37
2016-08,42
2016-09,50
2016-10,45
2016-11,43
2016-12,51
2017-01,46
2017-02,48
2017-03,50
2017-04,49
2017-05,48
2017-06,43
2017-07,40
2017-08,47
2017-09,56
2017-10,55
2017-11,56
2017-12,63
2018-01,51
2018-02,53
2018-03,57
2018-04,60
2018-05,53
2018-06,48
2018-07,42
2018-08,52
2018-09,62
2018-10,56
2018-11,57
2018-12,74
2019-01,56
2019-02,52
2019-03,53
2019-04,57
2019-05,56
2019-06,51
2019-07,45
2019-08,54
2019-09,60
2019-10,64
2019-11,63
2019-12,85
2020-01,59
2020-02,58
2020-03,54
2020-04,60
2020-05,57
2020-06,51
2020-07,57
2020-08,58
2020-09,68
2020-10,50
2020-11,46
2020-12,85
2021-01,50
2021-02,51
2021-03,49
2021-04,52
2021-05,48
2021-06,51
2021-07,51
2021-08,52
2021-09,52
2021-10,51
2021-11,60
2021-12,76
2022-01,70
2022-02,72
2022-03,80
2022-04,71
2022-05,69
2022-06,72
2022-07,67
2022-08,74
2022-09,84
2022-10,84
2022-11,100
2022-12,88
2023-01,90
2023-02,85
2023-03,85
2023-04,83
2023-05,88
